iter	Logloss
0	0.6896393248
1	0.6861327929
2	0.6828017256
3	0.6796704508
4	0.6767117219
5	0.6732933004
6	0.6703589355
7	0.6676257465
8	0.6645699799
9	0.661547144
10	0.6583988101
11	0.65561884
12	0.6529449119
13	0.6503098418
14	0.6473612261
15	0.6450084538
16	0.642170444
17	0.6393633864
18	0.6366484245
19	0.6339341547
20	0.6313493564
21	0.6287313941
22	0.6264563971
23	0.624254784
24	0.6218873845
25	0.6194336994
26	0.6170409667
27	0.6146808559
28	0.6122940123
29	0.6099953276
30	0.608183267
31	0.6063070203
32	0.604370878
33	0.6024757061
34	0.6003310105
35	0.5982650626
36	0.5963914672
37	0.5942900156
38	0.5922772328
39	0.5902977982
40	0.5882375487
41	0.5863399495
42	0.5847251628
43	0.5829406468
44	0.5813012829
45	0.5796624994
46	0.5780445096
47	0.5763029465
48	0.5747343721
49	0.5732745012
50	0.5716572406
51	0.5702075153
52	0.5685816839
53	0.5670404684
54	0.5654684307
55	0.5641222148
56	0.5626348426
57	0.5612311946
58	0.5597366138
59	0.558431417
60	0.5569933434
61	0.5556494875
62	0.554351261
63	0.5529456779
64	0.5515486964
65	0.5502132497
66	0.5489494219
67	0.5476573526
68	0.5464227801
69	0.5452051753
70	0.5442016155
71	0.5430222657
72	0.5418595701
73	0.5407506493
74	0.5395728296
75	0.5384335286
76	0.5372543862
77	0.5362275756
78	0.5352232874
79	0.5341620179
